CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,0.0051853179410228205,0.7500003437498708,0.018912210865203914,0.0,0.044032937006129536,0.0,0.166667,0.0,0.083333,0.0,0.0,0.03333333333333333,0.06614785992217899,0.03696434336899475,0.0230970200065126,0.0,1.0
C10002,0.40604983324954563,0.8750001718749354,0.0,0.0,0.0,0.971166748742985,0.0,0.0,0.0,0.35714285714285715,0.25,0.0,0.5330739299610896,0.7517330500544305,0.177576746846061,0.222222,1.0
C10003,0.31636679342075585,0.9999999999999998,0.15327415172588793,0.2530114173705033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.5719844357976654,0.11396364527214196,0.1038741326904982,0.0,1.0
C10005,0.10367984120611312,0.9999999999999998,0.00317185926460443,0.005235824822391005,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.016666666666666666,0.08171206225680934,0.12427285936854031,0.04053196757492712,0.0,1.0
C10006,0.2294730021258598,0.9999999999999998,0.2643110325194871,0.0,0.6153902961376561,0.0,0.666667,0.0,0.583333,0.0,0.0,0.13333333333333333,0.12840466926070038,0.2565042203659245,0.39864145430973585,0.0,1.0
C10008,0.23122578751246917,0.9999999999999998,0.08647281320127827,0.0,0.2013329887009822,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.16731517509727628,0.12440666565487954,0.08810029359971158,0.0,1.0
C10009,0.128684959376638,0.9999999999999998,0.1707828148665044,0.21646536011021414,0.09231223691012481,0.0,0.333333,0.083333,0.25,0.0,0.0,0.08333333333333333,0.5330739299610896,0.12609472572985833,0.05165589583462076,0.0,1.0
C10010,0.019300577071220935,0.3750008593746777,0.2540659270948148,0.4193895682735195,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.05,0.8443579766536966,0.21339579289077665,0.01660412745362411,0.0,1.0
C10011,0.16395857685138365,0.9999999999999998,0.18240569665923925,0.0,0.4246916771287202,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.08171206225680934,0.19846924369153418,0.35979950456728516,0.0,1.0
C10012,0.07997974592424371,0.7500003437498708,0.2958115598410899,0.48829956771721317,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.1,0.14396887159533073,0.12927170578883673,0.025753176819560054,0.0,1.0
C10013,0.19233531647378688,0.9999999999999998,0.6379382121815256,0.8181728934804164,0.33129015582305593,0.0,1.0,0.25,0.916667,0.0,0.0,0.43333333333333335,0.22178988326848248,0.11143470208146297,0.08117361134998687,0.25,1.0
C10014,0.11686365463055369,0.9999999999999998,0.4238258173484843,0.1374273120257079,0.7929482682224356,0.0,0.75,0.166667,0.75,0.0,0.0,0.43333333333333335,0.5719844357976654,0.3033770973336653,0.04158300967251305,0.083333,1.0
C10015,0.35156755639974996,0.9999999999999998,0.0,0.0,0.0,0.05227604221423696,0.0,0.0,0.0,0.11904714285714287,0.0625,0.0,0.22178988326848248,0.14759870460306412,0.16393479191943452,0.0,1.0
C10016,0.8731230080976958,0.9999999999999998,0.319505348547685,0.0,0.7438981611402408,0.34691148589263376,0.5,0.0,0.5,0.2380957142857143,0.25,0.18333333333333332,0.6108949416342413,0.3652213369054682,0.3494010669756781,0.0,1.0
C10017,0.26272390827807424,0.8281250644531006,0.0,0.0,0.0,0.41968304994267946,0.0,0.0,0.0,0.35714285714285715,0.1875,0.0,0.22178988326848248,0.07180702587500654,0.06235655053342129,0.0,0.0
C10018,0.005209248851418939,0.24999965625012882,0.10288718489560619,0.0,0.23955025478177389,0.0,0.416667,0.0,0.333333,0.0,0.0,0.13333333333333333,0.18287937743190663,0.04663606707234702,0.012116438891305533,0.25,1.0
C10019,0.2521998199025666,0.9999999999999998,0.09998295125645276,0.05432168253230668,0.15616922679270365,0.0,0.666667,0.083333,0.583333,0.0,0.0,0.15,1.0000000000000002,0.31527624657748554,0.12330412846615535,0.0,1.0
C10023,0.016779458704021845,0.5000006874997422,0.16174499837442213,0.0,0.37658777047485414,0.0,1.0,0.0,1.0,0.0,0.0,0.2833333333333333,0.12840466926070038,0.43231340915970495,0.014290201958023833,0.0,1.0
C10025,0.680696627878578,0.9999999999999998,0.0,0.0,0.0,0.12042838836765667,0.0,0.0,0.0,0.51948,0.25,0.0,0.45525291828793774,0.26065753730718977,0.27439876841120636,0.0,0.75
C10026,0.021526517409065436,0.9999999999999998,0.07921718513349564,0.0,0.18443984934642937,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.22178988326848248,0.039438505826071044,0.026987991795898367,0.0,1.0
C10027,0.20489271999702088,0.9999999999999998,0.02022060281185324,0.03337838324274266,0.0,0.03690562622413944,0.166667,0.166667,0.0,0.35714285714285715,0.3125,0.03333333333333333,0.12062256809338522,0.16308613123379687,0.16082482017087096,0.0,1.0
C10028,0.015936612014511964,0.9999999999999998,0.04624570807793259,0.0,0.10767299313196958,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.06614785992217899,0.0380584430261284,0.02727668508139081,0.0,1.0
C10030,0.0027968854029415016,0.9999999999999998,0.019824120403777686,0.0,0.04615611845506241,0.0,0.416667,0.0,0.416667,0.0,0.0,0.08333333333333333,0.5252918287937745,0.029446192030471687,0.026438007921628242,0.0,1.0
C10032,0.1473675083245619,0.9999999999999998,0.2671716530937523,0.13089562055977513,0.43742615021047193,0.02650129752171041,1.0,0.083333,1.0,0.2380957142857143,0.125,0.75,0.45525291828793774,0.11834829467669736,0.04252877051393338,0.0,1.0
C10033,0.8536742089977564,0.9999999999999998,0.0644184792520756,0.10633632975224731,0.0,0.1793024060919329,0.083333,0.083333,0.0,0.2380957142857143,0.1875,0.05,0.8054474708171208,0.3151446062732953,0.4151188643290443,0.0,1.0
C10034,0.015932254899937142,0.9999999999999998,0.1262380163192159,0.208382555540648,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,0.18333333333333332,0.08171206225680934,0.07757378094035398,0.03250197454437525,0.3,1.0
C10036,0.2100130702203385,0.9999999999999998,0.0,0.0,0.0,0.014962450453722152,0.0,0.0,0.0,0.11904714285714287,0.0625,0.0,0.12840466926070038,0.06439146609225989,0.10508047335165793,0.0,1.0
C10038,0.5131916168994873,0.9999999999999998,0.47192309827212975,0.5373821530366149,0.3408075474484898,0.2558941127225826,0.75,0.5,0.75,0.47619,0.4375,0.6833333333333333,0.377431906614786,0.2964154271534413,0.2552117682081334,0.0,1.0
C10039,0.7949177100169348,0.9999999999999998,0.04044120562370648,0.06675676648548531,0.0,0.4410005377623245,0.083333,0.083333,0.0,0.47619,0.75,0.03333333333333333,0.6887159533073931,0.2266498502636588,0.33938246091357277,0.0,1.0
C10041,0.08411992604824778,0.6250005156248064,0.0,0.0,0.0,0.4722572187542264,0.0,0.0,0.0,0.35714285714285715,0.1875,0.0,0.12840466926070038,0.5619256695625986,0.04691468148750077,0.166667,1.0
C10043,0.09951791519544323,0.8750001718749354,0.30263303967202976,0.25730806611537793,0.34168912931098144,0.32986781592725617,0.583333,0.416667,0.333333,0.35714285714285715,0.6875,0.45,0.22178988326848248,0.23126653348319337,0.060131357398189096,0.111111,1.0
C10044,0.5204479763571673,0.9999999999999998,0.04040552220697968,0.06669786345623341,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.016666666666666666,0.33852140077821014,0.1590730419409382,0.29828901477898057,0.0,1.0
C10045,0.17253199451585896,0.9999999999999998,0.0,0.0,0.0,0.22332458405629824,0.0,0.0,0.0,0.11904714285714287,0.0625,0.0,0.10505836575875487,0.06930056661237399,0.053211030669002714,0.0,1.0
C10046,0.6740240671261422,0.9999999999999998,0.30240506228738634,0.1537369063474559,0.48724244885902085,0.0,1.0,0.333333,1.0,0.0,0.0,0.3333333333333333,0.6498054474708173,0.2620526910774987,0.21837719202409286,0.0,1.0
C10048,0.06015596566254214,0.31250025781240326,0.021754989731105633,0.0,0.05065172439258548,0.15279229880891895,0.375,0.0,0.25,0.17857142857142858,0.0625,0.05,0.12062256809338522,0.0322393658056301,0.02437050962862405,0.0,0.0
C10051,0.1095244275805035,0.9999999999999998,0.10060741104917176,0.1660738185852147,0.0,0.10477432251253392,0.166667,0.166667,0.0,0.11904714285714287,0.125,0.05,0.29961089494163423,0.10769759724322471,0.04743058090616612,0.083333,1.0
C10053,0.13679490476394465,0.9999999999999998,0.6161039259688048,0.7270400900561869,0.40899398124215347,0.0,0.666667,0.583333,0.5,0.0,0.0,0.3,0.18287937743190663,0.25646218506864377,0.21899517042937747,0.0,1.0
C10054,0.19851678943414308,0.9999999999999998,0.0,0.0,0.0,0.04843953858375492,0.0,0.0,0.0,0.35714285714285715,0.1875,0.0,0.2607003891050584,0.1267445407115697,0.09628902974090063,0.0,1.0
C10055,0.05891681858304182,0.8472224322915878,0.39236295585564873,0.6476780753107954,0.0,0.2986427841151337,0.666667,0.666667,0.0,0.15873,0.0625,0.18333333333333332,0.22178988326848248,0.569803034804639,0.02192724917414641,0.2,0.25
C10060,0.5035119778769812,0.9999999999999998,0.0,0.0,0.0,0.03385101973431752,0.0,0.0,0.0,0.25974,0.1875,0.0,0.29961089494163423,0.14014011044499078,0.26499405631646394,0.0,0.75
C10061,0.696587954506012,0.9999999999999998,0.0453972357246509,0.0,0.10569751126209291,0.14630048178176755,0.416667,0.0,0.333333,0.47619,0.25,0.1,0.45525291828793774,0.38667920758482976,0.313816193166625,0.0,1.0
C10062,0.23825789073088138,0.6250005156248064,0.022401256056268786,0.03697801280813647,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.03333333333333333,0.4941634241245137,0.643022432377415,0.09076184311615187,0.0,1.0
C10063,0.19726313660173472,0.9999999999999998,0.01312356770730083,0.021663225202642786,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.016666666666666666,0.11284046692607004,0.06193333871872983,0.13863936443679115,0.0,1.0
C10064,0.10264884207627395,0.8750001718749354,0.0,0.0,0.0,0.5757520220923961,0.0,0.0,0.0,0.7792214285714286,0.4375,0.0,0.311284046692607,0.8010394755733989,0.040011004672078646,0.090909,0.75
C10068,0.22290908534827275,0.9999999999999998,0.08174079566089654,0.10642141190561116,0.04021121039805037,0.0,0.583333,0.333333,0.166667,0.0,0.0,0.18333333333333332,0.12840466926070038,0.14243268034452758,0.1486897860247265,0.0,1.0
C10069,0.10268237590794096,0.8281250644531006,0.0,0.0,0.0,0.13692973255641186,0.0,0.0,0.0,0.17857142857142858,0.0625,0.0,0.10505836575875487,0.02675419538187377,0.029705036774403427,0.0,0.0
C10070,0.19986382936677333,0.9999999999999998,0.0,0.0,0.0,0.05771708757075175,0.0,0.0,0.0,0.5952385714285715,0.375,0.0,0.18287937743190663,0.09893175902207121,0.058432445182144105,0.0,1.0
C10072,0.21547590912464165,0.9999999999999998,0.27033954753427597,0.4462526220028994,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.06666666666666667,0.12062256809338522,0.29750042114767317,0.15292929878000466,0.0,1.0
C10073,0.695799259457534,0.9999999999999998,0.08308288861223229,0.0,0.19344029244516656,0.09426854378483325,0.916667,0.0,0.833333,0.47619,0.25,0.18333333333333332,0.4747081712062257,0.2360127941755007,0.3611548184112672,0.0,1.0
C10075,0.08317724546854524,0.9999999999999998,0.0,0.0,0.0,0.2222336978702807,0.0,0.0,0.0,0.17857142857142858,0.1875,0.0,0.5330739299610896,0.16680159860292357,0.023341020790667712,0.25,0.0
C10077,0.22936442522450698,0.9999999999999998,0.1415243955625689,0.16462742197802918,0.09730632892696256,0.0,0.5,0.1,0.4,0.0,0.0,0.13333333333333333,0.1634241245136187,0.16287333896942457,0.10312443182465296,0.0,0.5
C10078,0.06749567858335973,0.8750001718749354,0.15699513912567703,0.16906478351500556,0.1270677941067868,0.0,0.272727,0.090909,0.181818,0.0,0.0,0.11666666666666667,0.45525291828793774,0.23912058006409054,0.029058828318695978,0.0,0.75
C10079,0.7430613366910932,0.9999999999999998,0.1113857853127057,0.08164614332415973,0.14417786721807843,0.0,0.833333,0.166667,0.75,0.0,0.0,0.23333333333333334,0.45525291828793774,0.36459944993855486,0.3579332405225962,0.0,1.0
C10080,0.219051847348961,0.9999999999999998,0.12015597617933695,0.19834286144371327,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2833333333333333,0.8443579766536966,0.5422963810350873,0.10327335830736604,0.0,1.0
C10081,0.07338840369444942,0.9999999999999998,0.0634371852920886,0.0,0.1476995790561997,0.0,0.75,0.0,0.666667,0.0,0.0,0.13333333333333333,0.10505836575875487,0.2636226833226248,0.03148925402648847,0.0,1.0
C10083,0.836049675470875,0.9999999999999998,0.07704842636132236,0.1271847297169055,0.0,0.6966796771453255,0.583333,0.583333,0.0,0.5952385714285715,0.4375,0.11666666666666667,0.5330739299610896,0.297640905115571,0.41456524844486103,0.0,1.0
C10084,0.002200206811399313,0.8750001718749354,0.048539358808649666,0.013158282256771394,0.0944538808064397,0.0,0.666667,0.166667,0.583333,0.0,0.0,0.21666666666666667,0.377431906614786,0.06554607327237473,0.02011841897726147,0.181818,1.0
